Country,Total,'C1: Security Apparatus','C2: Factionalized Elites','C3: Group Grievance','E1: Economy','E2: Economic Inequality','E3: Human Flight and Brain Drain','P1: State Legitimacy','P2: Public Services','P3: Human Rights','S1: Demographic Pressures','S2: Refugees and IDPs','X1: External Intervention','life expentancy at birth','women peace and security index','Military expenditure \%ofEconomy','Unemployment rate','prevalence of undernourishment by \%','death rate from obesity'
Benin,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(-inf-3.475]\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(7.75-inf)\'','\'(3.2-5.4]\'','\'(7.775-inf)\'','\'(3.775-5.85]\'','\'(5.5-7.75]\'','\'(60.2049-68.1699]\'','\'(0.5102-0.6355]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Nicaragua,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(7.7-inf)\'','\'(5.5-7.75]\'','\'(3.2-5.4]\'','\'(3.325-5.55]\'','\'(3.775-5.85]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(16.775-31.05]\'','\'(-inf-84.4183]\''
Ecuador,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(3.2-5.4]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(5.5-7.75]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Fiji,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(5.4-7.6]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(5.5-7.75]\'','\'(60.2049-68.1699]\'',?,'\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(224.4206-inf)\''
Algeria,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(3.325-5.55]\'','\'(5.85-7.925]\'','\'(3.25-5.5]\'','\'(76.1348-inf)\'','\'(0.5102-0.6355]\'','\'(3.0188-6.0368]\'','\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Bolivia,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(16.775-31.05]\'','\'(-inf-84.4183]\''
Georgia,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(3.25-5.5]\'','\'(5.4-7.6]\'','\'(3.325-5.55]\'','\'(5.85-7.925]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Micronesia,Warning,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(3.475-5.65]\'','\'(7.8-inf)\'','\'(7.75-inf)\'','\'(7.675-inf)\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(3.2-5.4]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(7.75-inf)\'',?,?,?,?,?,?
Azerbaijan,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(3.25-5.5]\'','\'(7.6-inf)\'','\'(3.325-5.55]\'','\'(5.85-7.925]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'','\'(0.5102-0.6355]\'','\'(3.0188-6.0368]\'','\'(-inf-6.924]\'',?,'\'(84.4183-154.4194]\''
Thailand,Warning,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(7.825-inf)\'','\'(-inf-3.4]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(7.6-inf)\'','\'(5.55-7.775]\'','\'(5.85-7.925]\'','\'(3.25-5.5]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Bhutan,Warning,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(7.825-inf)\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(3.1-5.4]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(5.85-7.925]\'','\'(7.75-inf)\'','\'(68.1699-76.1348]\'','\'(0.5102-0.6355]\'',?,'\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Morocco,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(5.4-7.6]\'','\'(3.325-5.55]\'','\'(5.85-7.925]\'','\'(5.5-7.75]\'','\'(76.1348-inf)\'','\'(0.5102-0.6355]\'','\'(3.0188-6.0368]\'','\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
China,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(7.825-inf)\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(5.5-7.75]\'','\'(7.6-inf)\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Maldives,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(3.475-5.65]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(5.5-7.75]\'','\'(7.6-inf)\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(5.5-7.75]\'','\'(76.1348-inf)\'','\'(0.5102-0.6355]\'',?,'\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Turkmenistan,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(5.5-7.75]\'','\'(7.6-inf)\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(60.2049-68.1699]\'','\'(0.6355-0.7608]\'',?,'\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(154.4194-224.4206]\''
Mexico,Warning,'\'(7.75-inf)\'','\'(3.25-5.5]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Tunisia,Warning,'\'(7.75-inf)\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(5.4-7.6]\'','\'(3.325-5.55]\'','\'(3.775-5.85]\'','\'(5.5-7.75]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(13.726-20.528]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Ukraine,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(3.25-5.5]\'','\'(5.4-7.6]\'','\'(3.325-5.55]\'','\'(3.775-5.85]\'','\'(7.75-inf)\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(3.0188-6.0368]\'','\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Gabon,Warning,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(5.5-7.75]\'','\'(60.2049-68.1699]\'','\'(0.5102-0.6355]\'','\'(-inf-3.0188]\'','\'(13.726-20.528]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
'El Salvador',Warning,'\'(5.5-7.75]\'','\'(3.25-5.5]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(3.1-5.4]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
'Bosnia and Herzegovina',Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(5.4-7.6]\'','\'(3.325-5.55]\'','\'(5.85-7.925]\'','\'(7.75-inf)\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(20.528-inf)\'',?,'\'(84.4183-154.4194]\''
Indonesia,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(3.1-5.4]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Belarus,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(-inf-3.425]\'','\'(7.7-inf)\'','\'(3.25-5.5]\'','\'(7.6-inf)\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(84.4183-154.4194]\''
'South Africa',Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(3.425-5.55]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(3.2-5.4]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(-inf-3.25]\'','\'(60.2049-68.1699]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(20.528-inf)\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
'Sao Tome and Principe',Warning,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(3.475-5.65]\'','\'(7.8-inf)\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(3.2-5.4]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(7.75-inf)\'','\'(68.1699-76.1348]\'',?,?,'\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Moldova,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(3.2-5.4]\'','\'(3.325-5.55]\'','\'(3.775-5.85]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(84.4183-154.4194]\''
Paraguay,Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Guyana,Warning,'\'(5.5-7.75]\'','\'(3.25-5.5]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(3.2-5.4]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'',?,'\'(-inf-3.0188]\'','\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
'Saudi Arabia',Warning,'\'(5.5-7.75]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(3.25-5.5]\'','\'(7.6-inf)\'','\'(3.325-5.55]\'','\'(3.775-5.85]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(9.0548-inf)\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Armenia,Warning,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(5.4-7.6]\'','\'(-inf-3.325]\'','\'(5.85-7.925]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(3.0188-6.0368]\'','\'(13.726-20.528]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Namibia,Warning,'\'(3.25-5.5]\'','\'(3.25-5.5]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(5.55-7.675]\'','\'(3.1-5.4]\'','\'(5.5-7.75]\'','\'(3.2-5.4]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(5.5-7.75]\'','\'(60.2049-68.1699]\'','\'(0.6355-0.7608]\'','\'(3.0188-6.0368]\'','\'(20.528-inf)\'','\'(16.775-31.05]\'','\'(-inf-84.4183]\''
Peru,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(-inf-3.4]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(3.2-5.4]\'','\'(3.325-5.55]\'','\'(3.775-5.85]\'','\'(3.25-5.5]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Vietnam,Warning,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(5.55-7.675]\'','\'(7.7-inf)\'','\'(3.25-5.5]\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
'Cape Verde',Warning,'\'(3.25-5.5]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(3.1-5.4]\'','\'(5.5-7.75]\'','\'(3.2-5.4]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(7.75-inf)\'',?,?,'\'(-inf-3.0188]\'','\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Serbia,Warning,'\'(3.25-5.5]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(3.1-5.4]\'','\'(3.25-5.5]\'','\'(3.2-5.4]\'','\'(3.325-5.55]\'','\'(7.925-inf)\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(13.726-20.528]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Ghana,Warning,'\'(3.25-5.5]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(7.675-inf)\'','\'(3.1-5.4]\'','\'(7.75-inf)\'','\'(3.2-5.4]\'','\'(5.55-7.775]\'','\'(3.775-5.85]\'','\'(5.5-7.75]\'','\'(60.2049-68.1699]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
'Dominican Republic',Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(5.55-7.775]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Brazil,Warning,'\'(5.5-7.75]\'','\'(3.25-5.5]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(7.75-inf)\'','\'(3.425-5.55]\'','\'(5.4-7.7]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(7.775-inf)\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'',?,'\'(-inf-84.4183]\''
Samoa,Warning,'\'(3.25-5.5]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(7.675-inf)\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(3.2-5.4]\'','\'(5.55-7.775]\'','\'(-inf-3.775]\'','\'(7.75-inf)\'','\'(68.1699-76.1348]\'',?,?,'\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Macedonia,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(3.2-5.4]\'','\'(-inf-3.325]\'','\'(5.85-7.925]\'','\'(5.5-7.75]\'',?,'\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(20.528-inf)\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Kazakhstan,Warning,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(3.25-5.5]\'','\'(5.4-7.6]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'',?,'\'(84.4183-154.4194]\''
Suriname,Warning,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(5.55-7.675]\'','\'(3.1-5.4]\'','\'(5.5-7.75]\'','\'(3.2-5.4]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'',?,'\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Belize,Warning,'\'(5.5-7.75]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(5.55-7.675]\'','\'(3.1-5.4]\'','\'(5.5-7.75]\'','\'(3.2-5.4]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Malaysia,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(-inf-3.4]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(3.25-5.5]\'','\'(7.6-inf)\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(-inf-6.924]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Jamaica,Warning,'\'(5.5-7.75]\'','\'(3.25-5.5]\'','\'(-inf-3.475]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(7.675-inf)\'','\'(3.1-5.4]\'','\'(5.5-7.75]\'','\'(5.4-7.6]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(84.4183-154.4194]\''
Bahrain,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(7.825-inf)\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(-inf-3.25]\'','\'(7.6-inf)\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'','\'(3.0188-6.0368]\'','\'(-inf-6.924]\'',?,'\'(84.4183-154.4194]\''
Cuba,Warning,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(3.425-5.55]\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(5.4-7.6]\'','\'(3.325-5.55]\'','\'(3.775-5.85]\'','\'(3.25-5.5]\'','\'(76.1348-inf)\'',?,?,'\'(-inf-6.924]\'',?,'\'(-inf-84.4183]\''
Botswana,Warning,'\'(3.25-5.5]\'','\'(3.25-5.5]\'','\'(3.475-5.65]\'','\'(5.6-7.8]\'','\'(7.75-inf)\'','\'(3.425-5.55]\'','\'(3.1-5.4]\'','\'(5.5-7.75]\'','\'(3.2-5.4]\'','\'(7.775-inf)\'','\'(3.775-5.85]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'','\'(0.6355-0.7608]\'','\'(3.0188-6.0368]\'','\'(13.726-20.528]\'','\'(16.775-31.05]\'','\'(84.4183-154.4194]\''
Cyprus,Warning,'\'(3.25-5.5]\'','\'(7.75-inf)\'','\'(5.65-7.825]\'','\'(5.6-7.8]\'','\'(5.5-7.75]\'','\'(3.425-5.55]\'','\'(3.1-5.4]\'','\'(-inf-3.25]\'','\'(-inf-3.2]\'','\'(3.325-5.55]\'','\'(3.775-5.85]\'','\'(7.75-inf)\'','\'(76.1348-inf)\'','\'(0.7608-inf)\'','\'(-inf-3.0188]\'','\'(6.924-13.726]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
'Brunei Darussalam',Warning,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(5.65-7.825]\'','\'(3.4-5.6]\'','\'(7.75-inf)\'','\'(3.425-5.55]\'','\'(7.7-inf)\'','\'(-inf-3.25]\'','\'(7.6-inf)\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(3.25-5.5]\'','\'(68.1699-76.1348]\'',?,?,?,?,?
Grenada,Warning,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(3.475-5.65]\'','\'(5.6-7.8]\'','\'(3.25-5.5]\'','\'(7.675-inf)\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(-inf-3.2]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'',?,?,?,?,'\'(84.4183-154.4194]\''
Albania,Warning,'\'(3.25-5.5]\'','\'(5.5-7.75]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(3.25-5.5]\'','\'(3.2-5.4]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(5.5-7.75]\'','\'(76.1348-inf)\'','\'(0.6355-0.7608]\'','\'(-inf-3.0188]\'','\'(13.726-20.528]\'','\'(-inf-16.775]\'','\'(-inf-84.4183]\''
Seychelles,Stable,'\'(5.5-7.75]\'','\'(5.5-7.75]\'','\'(3.475-5.65]\'','\'(3.4-5.6]\'','\'(3.25-5.5]\'','\'(5.55-7.675]\'','\'(5.4-7.7]\'','\'(-inf-3.25]\'','\'(3.2-5.4]\'','\'(3.325-5.55]\'','\'(-inf-3.775]\'','\'(5.5-7.75]\'','\'(68.1699-76.1348]\'',?,'\'(-inf-3.0188]\'',?,?,'\'(-inf-84.4183]\''
